   List of levels:

     Level   Energy             Jpi    K
 134prs116   12061.4873(0)            0.0
 134prs118   12969.6074(0)            0.0
 134prs120   13931.4072(0)            0.0
 134prs122   14959.7695(0)            0.0
 134prs124   16051.4736(0)            0.0
 134prs126   17225.8438(0)            0.0
 134prs128   18481.8066(0)            0.0
 134prs130   19806.4805(0)            0.0
 134prs310   10063.0(0)         10+   0.0
 134prs312   10812.1416(0)            0.0
 134prs314   11629.3125(0)            0.0
 134prs316   12506.6631(0)            0.0
 134prs318   13441.5771(0)            0.0
 134prs320   14432.7461(0)            0.0
 134prs322   15489.3281(0)            0.0
 134prs324   16625.7148(0)            0.0
 134prs326   17845.8301(0)            0.0
 134prs328   19145.7480(0)            0.0
 134prs330   20483.6055(0)            0.0

   List of transitions:

     Ei    Jpi_i ->  Jpi_f   Energy          Intensity    Alpha     Delta Mult
------------------------------------------------------------------------------
    414       8+        7+   39.3(3)         56.0(10)     3.56e+00   0.00  M1
    414       8+        7-   121.9(3)        0.7(10)      1.46e-01   0.00  E1
    679      10+        9+   171.20(20)      187(5)       2.88e-01   0.00  M1
   1273      12+       11+   306.5(3)        105(3)       5.99e-02   0.00  M1
   1273      12+       10+   594.10(20)      31.0(9)      7.25e-03   0.00  E2
   2085      14+       13+   395.60(20)      36.0(9)      3.10e-02   0.00  M1
   2085      14+       12+   812.20(20)      38.0(11)     3.41e-03   0.00  E2
   3061      16+       15+   443.80(20)      2.80(24)     2.31e-02   0.00  M1
   3061      16+       15+   480.30(20)      4.50(25)     1.90e-02   0.00  M1
   3061      16+       14+   975.7(3)        21.0(5)      2.26e-03   0.00  E2
   4129      18+       17+   521.80(20)      3.20(23)     1.55e-02   0.00  M1
   4129      18+       16+   1068.0(3)       16.0(4)      1.87e-03   0.00  E2
   4129      18+       16+   1112.4(5)       1.80(25)     1.71e-03   0.00  E2
   5168      20+       19+   499.5(3)        3.00(18)     1.72e-02   0.00  M1
   5168      20+       18+   1038.5(3)       7.0(3)       1.98e-03   0.00  E2
   6082      22+       21+   473.4(3)        2.90(12)     1.92e-02   0.00  M1
   6082      22+       20+   914.1(3)        3.20(18)     2.61e-03   0.00  E2
   7086      24+       23+   528.0(4)        1.5(10)      1.50e-02   0.00  M1
   7086      24+       22+   1004.3(4)       2.40(18)     2.13e-03   0.00  E2
    374       7+        7-   82.4(4)         1.0(10)      4.29e-01   0.00  E1
    374       7+        6-   306.60(20)      260.0(10)    1.22e-02   0.00  E1
    508       9+        8+   94.6(3)         102.0(10)    1.50e+00   0.00  M1
    967      11+       10+   287.60(20)      163(4)       7.12e-02   0.00  M1
    967      11+        9+   458.70(20)      10.0(6)      1.43e-02   0.00  E2
   1690      13+       12+   416.60(20)      67.0(16)     2.71e-02   0.00  M1
   1690      13+       11+   723.10(20)      21.0(7)      4.47e-03   0.00  E2
   2581      15+       14+   495.70(20)      20.0(5)      1.75e-02   0.00  M1
   2581      15+       13+   891.30(20)      18.0(5)      2.76e-03   0.00  E2
   3608      17+       16+   546.50(20)      8.0(3)       1.38e-02   0.00  M1
   3608      17+       15+   990.2(4)        1.50(23)     2.19e-03   0.00  E2
   3608      17+       15+   1026.6(3)       10.5(3)      2.03e-03   0.00  E2
   4669      19+       18+   539.1(3)        3.20(21)     1.42e-02   0.00  M1
   4669      19+       17+   1060.9(3)       7.2(3)       1.89e-03   0.00  E2
   5609      21+       20+   440.7(3)        3.30(17)     2.38e-02   0.00  M1
   5609      21+       19+   940.1(3)        4.00(18)     2.46e-03   0.00  E2
   6558      23+       22+   476.2(4)        1.70(10)     1.93e-02   0.00  M1
   6558      23+       21+   949.5(4)        2.0(10)      2.39e-03   0.00  E2
   7610      25+       24+   523.9(4)        1.3(10)      1.53e-02   0.00  M1
   7610      25+       23+   1051.6(5)       1.8(10)      1.93e-03   0.00  E2
   8756      27+       25+   1145.7(5)       1.0(10)      1.61e-03   0.00  E2
    765       8+        9+   257.1(3)        0.4(4)       9.52e-02   0.00  M1
    765       8+        7+   390.7(3)        0.3(3)       3.18e-02   0.00  M1
   1138      10+       11+   171.3(3)        0.4(10)      2.95e-01   0.00  M1
   1138      10+        9+   204.80(20)      2.00(11)     1.74e-01   0.00  M1
   1138      10+       10+   458.7(3)        0.4(10)      2.12e-02   0.00  M1
   1138      10+        9+   629.60(20)      4.2(7)       9.73e-03   0.00  M1
   1138      10+        8+   724.2(4)        1.30(10)     4.43e-03   0.00  E2
   1587      12+       11+   283.30(20)      18.0(5)      7.40e-02   0.00  M1
   1587      12+       11+   620.40(20)      25.0(7)      1.01e-02   0.00  M1
   1587      12+       10+   907.90(20)      4.5(3)       2.65e-03   0.00  E2
   2248      14+       13+   337.10(20)      34.0(9)      4.68e-02   0.00  M1
   2248      14+       13+   558.50(20)      3.6(3)       1.31e-02   0.00  M1
   2248      14+       12+   660.9(3)        0.6(3)       5.52e-03   0.00  E2
   3017      16+       15+   400.00(20)      9.0(3)       3.01e-02   0.00  M1
   3017      16+       15+   436.50(20)      8.0(3)       2.41e-02   0.00  M1
   3017      16+       14+   769.3(3)        3.4(3)       3.85e-03   0.00  E2
   3017      16+       14+   931.70(20)      6.2(3)       2.50e-03   0.00  E2
   3956      18+       17+   467.2(3)        5.5(3)       2.03e-02   0.00  M1
   3956      18+       16+   939.0(3)        6.5(4)       2.46e-03   0.00  E2
   5022      20+       19+   475.9(3)        1.3(3)       1.95e-02   0.00  M1
   5022      20+       18+   1065.9(4)       5.5(3)       1.87e-03   0.00  E2
   6213      22+       20+   1191.0(5)       3.5(10)      1.49e-03   0.00  E2
    933       9+        8+   167.5(4)        0.6(10)      3.15e-01   0.00  M1
    933       9+       10+   253.6(4)        0.5(10)      9.90e-02   0.00  M1
    933       9+        8+   518.80(20)      2.0(9)       1.58e-02   0.00  M1
   1304      11+       10+   166.40(20)      2.80(13)     3.14e-01   0.00  M1
   1304      11+       10+   624.80(20)      16.0(6)      9.92e-03   0.00  M1
   1304      11+        9+   795.80(20)      5.1(3)       3.56e-03   0.00  E2
   1911      13+       12+   323.90(20)      38.0(8)      5.20e-02   0.00  M1
   1911      13+       11+   607.1(3)        1.8(3)       6.83e-03   0.00  E2
   1911      13+       12+   637.90(20)      8.3(4)       9.44e-03   0.00  M1
   1911      13+       11+   945.1(4)        4.0(3)       2.43e-03   0.00  E2
   2617      15+       14+   369.20(20)      16.0(4)      3.70e-02   0.00  M1
   2617      15+       14+   532.10(20)      5.5(4)       1.48e-02   0.00  M1
   2617      15+       13+   706.3(4)        1.0(3)       4.70e-03   0.00  E2
   2617      15+       13+   927.60(20)      5.0(3)       2.52e-03   0.00  E2
   3489      17+       16+   472.00(20)      9.5(4)       1.97e-02   0.00  M1
   3489      17+       15+   872.1(3)        3.7(3)       2.90e-03   0.00  E2
   3489      17+       15+   908.40(20)      2.5(3)       2.64e-03   0.00  E2
   4547      19+       18+   590.3(3)        2.80(24)     1.14e-02   0.00  M1
   4547      19+       17+   1057.2(4)       4.2(3)       1.90e-03   0.00  E2
   5717      21+       20+   695.1(3)        1.8(10)      7.63e-03   0.00  M1
   5717      21+       19+   1170.6(5)       1.9(10)      1.54e-03   0.00  E2
   6909      23+       21+   1191.2(6)       1.5(10)      1.49e-03   0.00  E2
   2317      12-       11-   216.30(20)      3.40(11)     1.51e-01   0.00  M1
   2317      12-       10-   930.6(4)        0.5(10)      2.50e-03   0.00  E2
   2317      12-       12+   1043.9(3)       10.5(6)      8.25e-04   0.00  E1
   2748      14-       13-   146.30(20)      4.20(20)     4.41e-01   0.00  M1
   2748      14-       13-   200.60(20)      33.0(9)      1.85e-01   0.00  M1
   2748      14-       13-   290.8(4)        3.50(21)     6.83e-02   0.00  M1
   2748      14-       13-   368.30(20)      3.20(14)     3.71e-02   0.00  M1
   2748      14-       12-   430.8(4)        1.3(10)      1.71e-02   0.00  E2
   2748      14-       14+   662.50(20)      2.40(20)     2.04e-03   0.00  E1
   2748      14-       12-   702.10(20)      1.40(17)     4.76e-03   0.00  E2
   2748      14-       13+   836.80(20)      8.0(3)       1.26e-03   0.00  E1
   3193      16-       15-   240.00(20)      50.0(16)     1.14e-01   0.00  M1
   3193      16-       14-   444.4(4)        1.8(10)      1.57e-02   0.00  E2
   3193      16-       15+   575.3(4)        1.3(5)       2.77e-03   0.00  E1
   3826      18-       17-   343.00(20)      40.0(9)      4.45e-02   0.00  M1
   3826      18-       16-   633.0(3)        6.5(10)      6.14e-03   0.00  E2
   4650      20-       19-   438.40(20)      17.0(4)      2.37e-02   0.00  M1
   4650      20-       18-   824.3(3)        6.00(23)     3.28e-03   0.00  E2
   5644      22-       21-   517.80(20)      6.20(18)     1.58e-02   0.00  M1
   5644      22-       20-   994.0(3)        4.80(19)     2.18e-03   0.00  E2
   6787      24-       23-   592.6(3)        2.23(23)     1.12e-02   0.00  M1
   6787      24-       22-   1142.7(5)       2.80(15)     1.62e-03   0.00  E2
   8048      26-       24-   1260.8(7)       1.7(10)      1.32e-03   0.00  E2
   9397      28-       26-   1349.3(7)       0.5(10)      1.15e-03   0.00  E2
   2101      11-        9-   1015.2(5)       0.3(10)      2.08e-03   0.00  E2
   2101      11-       11+   1134.1(3)       3.0(6)       7.08e-04   0.00  E1
   2547      13-       12-   230.40(20)      11.0(3)      1.27e-01   0.00  M1
   2547      13-       12-   389.8(3)        3.00(19)     3.22e-02   0.00  M1
   2547      13-       12-   446.2(3)        2.30(22)     2.27e-02   0.00  M1
   2547      13-       11-   446.4(4)        0.5(10)      1.55e-02   0.00  E2
   2547      13-       12+   763.9(4)        0.50(20)     1.52e-03   0.00  E1
   2547      13-       11-   768.20(20)      6.5(3)       3.86e-03   0.00  E2
   2547      13-       13+   857.60(20)      12.0(4)      1.20e-03   0.00  E1
   2953      15-       14-   204.60(20)      45.0(18)     1.75e-01   0.00  M1
   2953      15-       13-   405.1(5)        0.3(10)      2.05e-02   0.00  E2
   2953      15-       13-   572.6(3)        1.00(14)     7.87e-03   0.00  E2
   2953      15-       14+   704.20(20)      5.5(3)       1.79e-03   0.00  E1
   3483      17-       16-   289.90(20)      52.0(14)     6.92e-02   0.00  M1
   3483      17-       15-   529.8(3)        3.0(3)       9.74e-03   0.00  E2
   4212      19-       18-   386.10(20)      28.0(6)      3.28e-02   0.00  M1
   4212      19-       17-   729.1(3)        6.7(3)       4.36e-03   0.00  E2
   5126      21-       20-   476.40(20)      10.0(3)      1.92e-02   0.00  M1
   5126      21-       19-   914.7(3)        6.00(20)     2.60e-03   0.00  E2
   6194      23-       22-   549.9(3)        3.30(18)     1.35e-02   0.00  M1
   6194      23-       21-   1067.8(4)       3.80(18)     1.87e-03   0.00  E2
   7399      25-       24-   612.1(4)        1.0(10)      1.04e-02   0.00  M1
   7399      25-       23-   1204.8(5)       3.2(10)      1.45e-03   0.00  E2
   8720      27-       25-   1320.7(6)       1.1(10)      1.21e-03   0.00  E2
  10127      29-       27-   1407.5(7)       0.4(10)      1.07e-03   0.00  E2
   1130       9+        8+   364.6(3)        0.5(10)      3.81e-02   0.00  M1
   1130       9+       10+   450.40(20)      2.0(5)       2.22e-02   0.00  M1
   1551      11+       10+   245.00(20)      4.20(18)     1.08e-01   0.00  M1
   1551      11+       12+   277.60(20)      1.80(13)     7.76e-02   0.00  M1
   1551      11+        9+   421.30(20)      2.00(11)     1.82e-02   0.00  E2
   1551      11+        9+   617.6(3)        0.80(10)     6.49e-03   0.00  E2
   1551      11+       10+   871.70(20)      3.99(24)     4.42e-03   0.00  M1
   2161      13+       12+   377.8(3)        0.7(10)      3.48e-02   0.00  M1
   2161      13+       11+   610.60(20)      12.0(4)      6.74e-03   0.00  E2
   2161      13+       11+   644.90(20)      9.0(3)       5.86e-03   0.00  E2
   2929      15+       13+   767.40(20)      21.0(6)      3.86e-03   0.00  E2
   3777      17+       15+   848.3(4)        21.0(5)      3.08e-03   0.00  E2
   4622      19+       17+   844.6(4)        19.0(4)      3.12e-03   0.00  E2
   5444      21+       19+   822.50(20)      12.00(23)    3.30e-03   0.00  E2
   6327      23+       21+   882.40(20)      9.00(14)     2.81e-03   0.00  E2
   7304      25+       23+   977.30(20)      6.80(10)     2.25e-03   0.00  E2
   8379      27+       25+   1074.7(3)       4.50(9)      1.84e-03   0.00  E2
   9545      29+       27+   1166.8(5)       3.20(6)      1.55e-03   0.00  E2
  10797      31+       29+   1251.2(5)       1.7(10)      1.34e-03   0.00  E2
  12147      33+       31+   1350.7(5)       0.6(10)      1.15e-03   0.00  E2
    550       8-        7-   257.80(20)      18.0(4)      9.51e-02   0.00  M1
    550       8-        6-   482.10(20)      10.5(5)      1.24e-02   0.00  E2
