   List of levels:

     Level   Energy             Jpi    K
   6423      23-       21-   889.4(5)        0.5(10)      2.77e-03   0.00  E2
   6423      23-       21-   964.2(3)        4.5(10)      2.32e-03   0.00  E2
   7486      25-       23-   1062.7(4)       2.5(10)      1.89e-03   0.00  E2
   8635      27-       25-   1149.0(4)       1.8(10)      1.60e-03   0.00  E2
   9875      29-       27-   1240.5(5)       1.0(10)      1.37e-03   0.00  E2
  11214      31-       29-   1338.8(5)       0.5(10)      1.17e-03   0.00  E2
    653       8-        8-   103.10(20)      0.4(10)      1.21e+00   0.00  M1
    653       8-        7-   270.00(20)      5.50(14)     8.35e-02   0.00  M1
    653       8-        6-   584.9(3)        3.0(10)      7.49e-03   0.00  E2
   1333      10-        9-   307.6(3)        0.7(10)      5.93e-02   0.00  M1
   1333      10-        9-   464.7(3)        1.8(10)      2.05e-02   0.00  M1
   1333      10-        8-   680.60(20)      5.0(10)      5.15e-03   0.00  E2
   2133      12-       11-   560.4(5)        0.5(10)      1.30e-02   0.00  M1
   2133      12-       10-   799.2(4)        3.2(10)      3.52e-03   0.00  E2
   3007      14-       12-   874.1(4)        1.3(10)      2.88e-03   0.00  E2
   2910      14-       13-   199.8(3)        1.2(4)       1.89e-01   0.00  M1
   2910      14-       13+   748.4(3)        1.0(10)      1.58e-03   0.00  E1
   2910      14-       12-   808.5(4)        0.8(10)      3.43e-03   0.00  E2
   2910      14-       14+   824.5(3)        0.5(4)       1.30e-03   0.00  E1
   2910      14-       12-   864.0(10)       0.5(10)      2.95e-03   0.00  E2
   2910      14-       13+   876.4(5)        0.5(10)      1.15e-03   0.00  E1
   3417      16-       15-   280.00(20)      12.0(5)      7.64e-02   0.00  M1
   3417      16-       14-   507.5(3)        0.9(10)      1.09e-02   0.00  E2
   3417      16-       14-   574.1(3)        0.60(16)     7.83e-03   0.00  E2
   3417      16-       14-   669.3(3)        1.0(10)      5.36e-03   0.00  E2
   4096      18-       17-   359.80(20)      10.50(24)    3.96e-02   0.00  M1
   4096      18-       17-   613.5(3)        2.2(10)      1.04e-02   0.00  M1
   4096      18-       16-   678.9(3)        1.3(10)      5.18e-03   0.00  E2
   4928      20-       19-   421.60(20)      5.00(17)     2.63e-02   0.00  M1
   4928      20-       19-   716.2(5)        1.8(10)      7.10e-03   0.00  M1
   4928      20-       18-   832.2(4)        1.20(19)     3.19e-03   0.00  E2
   5912      22-       21-   477.3(4)        0.8(10)      1.92e-02   0.00  M1
   5912      22-       21-   785.3(4)        0.5(10)      5.70e-03   0.00  M1
   5912      22-       20-   983.7(6)        1.5(10)      2.23e-03   0.00  E2
   6987      24-       22-   1075.1(5)       1.2(10)      1.84e-03   0.00  E2
   2710      13-       13+   1020.5(5)       0.5(10)      8.62e-04   0.00  E1
   2710      13-       12+   1436.6(5)       1.5(10)      4.66e-04   0.00  E1
   3137      15-       14-   227.50(20)      4.00(22)     1.33e-01   0.00  M1
   3137      15-       14-   293.80(20)      5.00(25)     6.68e-02   0.00  M1
   3137      15-       13-   427.5(4)        0.2(10)      1.75e-02   0.00  E2
   3137      15-       13-   680.00(20)      1.70(15)     5.15e-03   0.00  E2
   3137      15-       14+   1052.0(4)       0.70(20)     8.13e-04   0.00  E1
   3736      17-       16-   318.90(20)      13.0(4)      5.42e-02   0.00  M1
   3736      17-       15-   599.0(3)        1.7(10)      7.07e-03   0.00  E2
   3736      17-       15-   783.6(5)        0.7(10)      3.69e-03   0.00  E2
   4507      19-       18-   410.80(20)      7.0(3)       2.81e-02   0.00  M1
   4507      19-       18-   680.8(4)        1.0(10)      8.03e-03   0.00  M1
   4507      19-       17-   770.4(3)        1.50(17)     3.84e-03   0.00  E2
   5434      21-       20-   505.7(3)        3.20(15)     1.67e-02   0.00  M1
   5434      21-       20-   783.7(5)        0.8(10)      5.71e-03   0.00  M1
   5434      21-       19-   928.1(5)        1.0(10)      2.52e-03   0.00  E2
   6474      23-       22-   562.4(4)        1.0(10)      1.28e-02   0.00  M1
   6474      23-       22-   829.6(6)        0.8(10)      4.98e-03   0.00  M1
   6474      23-       21-   1039.5(5)       0.6(10)      1.97e-03   0.00  E2
   3545      16-       15-   258.2(3)        0.4(10)      9.46e-02   0.00  M1
   3545      16-       15-   292.30(20)      2.86(18)     6.76e-02   0.00  M1
   3545      16-       15-   592.2(3)        1.0(10)      1.13e-02   0.00  M1
   3545      16-       15+   927.4(4)        1.70(20)     1.03e-03   0.00  E1
   4201      18-       17-   339.80(20)      3.00(15)     4.56e-02   0.00  M1
   4201      18-       16-   656.5(4)        0.5(10)      5.62e-03   0.00  E2
   4201      18-       17-   718.5(3)        2.30(16)     7.05e-03   0.00  M1
   4201      18-       16-   783.7(3)        2.20(14)     3.69e-03   0.00  E2
   5059      20-       19-   425.6(3)        2.00(15)     2.56e-02   0.00  M1
   5059      20-       18-   858.1(4)        1.1(10)      3.00e-03   0.00  E2
   5059      20-       18-   963.1(4)        0.9(10)      2.32e-03   0.00  E2
   1172       9+       10+   492.80(20)      1.6(5)       1.77e-02   0.00  M1
   1172       9+        8+   758.2(3)        0.7(3)       6.17e-03   0.00  M1
   1172       9+        7+   797.9(3)        0.50(20)     3.54e-03   0.00  E2
   1516      11+       10+   210.70(20)      4.50(18)     1.63e-01   0.00  M1
   1516      11+       12+   243.30(20)      1.10(14)     1.13e-01   0.00  M1
   1516      11+        9+   583.4(3)        1.5(10)      7.48e-03   0.00  E2
   1516      11+       10+   837.0(3)        4.9(3)       4.88e-03   0.00  M1
   2034      13+       12+   250.20(20)      2.10(13)     1.02e-01   0.00  M1
   2034      13+       11+   730.2(3)        1.50(25)     4.35e-03   0.00  E2
   2034      13+       12+   760.5(3)        3.9(3)       6.13e-03   0.00  M1
   2831      15+       14+   438.90(20)      3.8(3)       2.36e-02   0.00  M1
   2831      15+       14+   745.7(5)        0.70(21)     6.43e-03   0.00  M1
   2831      15+       13+   797.0(3)        1.40(22)     3.53e-03   0.00  E2
   2831      15+       13+   920.1(3)        2.20(23)     2.57e-03   0.00  E2
   3722      17+       16+   445.6(3)        1.20(20)     2.27e-02   0.00  M1
   3722      17+       16+   704.7(6)        2.0(10)      7.37e-03   0.00  M1
   3722      17+       15+   890.5(5)        0.50(23)     2.75e-03   0.00  E2
   4713      19+       18+   479.9(5)        0.7(10)      1.89e-02   0.00  M1
   4713      19+       17+   990.8(5)        0.50(9)      2.19e-03   0.00  E2
    584       6-        5-   184.7(3)        1.7(10)      2.34e-01   0.00  M1
    797       7-        6-   212.8(3)        0.6(10)      1.59e-01   0.00  M1
    797       7-        6-   729.5(3)        1.1(10)      6.79e-03   0.00  M1
   1281       9-        7-   483.5(3)        0.6(10)      1.24e-02   0.00  E2
    383       7-        7-   90.7(3)         1.70(21)     1.72e+00   0.00  M1
    383       7-        6-   315.00(20)      4(3)         5.57e-02   0.00  M1
   1026       9-        8-   372.8(3)        1.8(10)      3.62e-02   0.00  M1
   1026       9-        7-   642.9(3)        2.1(10)      5.93e-03   0.00  E2
   4345                17+   846.52(11)      3.0(6)       3.09e-03   0.00  E2
   5217                      871.90(11)      4.5(5)       2.89e-03   0.00  E2
   6165                      948.19(12)      5.8(4)       2.40e-03   0.00  E2
   7175                      1009.38(12)     6.1(4)       2.10e-03   0.00  E2
   8239                      1064.46(17)     4.1(3)       1.88e-03   0.00  E2
   9366                      1126.57(17)     4.2(3)       1.67e-03   0.00  E2
  10567                      1201.71(24)     2.08(20)     1.45e-03   0.00  E2
  11858                      1290.48(23)     2.08(17)     1.26e-03   0.00  E2
  13243                      1385.29(24)     1.62(13)     1.10e-03   0.00  E2
  14729                      1485.8(3)       1.23(10)     9.58e-04   0.00  E2
  16317                      1587.7(3)       0.86(7)      0.00e+00   0.00  E2
  18011                      1694.0(4)       0.53(5)      0.00e+00   0.00  E2
  19811                      1800.9(6)       0.27(3)      0.00e+00   0.00  E2
  10429                10+   728.80(14)      1.0(10)      4.37e-03   0.00  E2
  11213                      784.66(13)      1.4(3)       3.68e-03   0.00  E2
  12061                      848.06(17)      2.6(3)       3.08e-03   0.00  E2
  12970                      908.03(17)      2.60(22)     2.65e-03   0.00  E2
  13931                      961.81(18)      2.41(18)     2.33e-03   0.00  E2
  14960                      1028.3(3)       1.45(17)     2.02e-03   0.00  E2
  16051                      1091.7(4)       0.94(14)     1.78e-03   0.00  E2
  17226                      1174.4(4)       1.05(13)     1.53e-03   0.00  E2
  18482                      1255.9(5)       0.78(12)     1.33e-03   0.00  E2
  19806                      1324.7(4)       0.90(10)     1.20e-03   0.00  E2
  10812                10+   748.67(11)      1.0(10)      4.09e-03   0.00  E2
  11629                      816.61(15)      2.0(3)       3.35e-03   0.00  E2
  12507                      877.62(13)      4.02(25)     2.85e-03   0.00  E2
  13442                      934.07(17)      2.22(18)     2.48e-03   0.00  E2
  14433                      990.94(21)      2.07(18)     2.19e-03   0.00  E2
  15489                      1057.1(3)       1.56(17)     1.91e-03   0.00  E2
  16626                      1136.4(3)       1.36(14)     1.64e-03   0.00  E2
  17846                      1220.8(4)       1.15(13)     1.41e-03   0.00  E2
  19146                      1299.8(4)       0.83(11)     1.25e-03   0.00  E2
  20484                      1337.8(5)       0.74(9)      1.18e-03   0.00  E2
