   List of levels:

     Level   Energy             Jpi    K
   2344    17/2-     15/2-   124.20(10)      18.29(20)    1.89e-01   0.00  M1
   2520    17/2-     15/2-   125.8(10)       0.85(24)     1.82e-01   0.00  M1
   2366    15/2-     13/2-   138.1(10)       0.29(24)     1.41e-01   0.00  M1
   2366    15/2-     15/2-   146.6(10)       0.49(24)     1.19e-01   0.00  M1
   2520    17/2-     15/2-   154.00(20)      5.37(12)     1.04e-01   0.00  M1
   2034    13/2-     11/2-   155.8(10)       0.12(24)     1.01e-01   0.00  M1
    821    13/2+     11/2+   163.60(20)      9.8(5)       8.81e-02   0.00  M1
   2906    19/2-     17/2-   164.7(10)       1.46(24)     8.71e-02   0.00  M1
   2916    21/2-     19/2-   170.8(10)       2.20(24)     7.85e-02   0.00  M1
   2700    19/2-     17/2-   179.30(20)      18.29(20)    6.93e-02   0.00  M1
   2872    19/2-     15/2-   183.6(10)       0.15(24)     1.55e-01   0.00  E2
   2219    15/2-     13/2-   185.6(10)       3.66(20)     6.34e-02   0.00  M1
   2935    21/2-     19/2-   189.5(10)       0.10(24)     5.97e-02   0.00  M1
   1716    17/2+     15/2+   192.40(20)      3.41(15)     5.71e-02   0.00  M1
   2539    19/2-     17/2-   195.10(20)      45.12(12)    5.54e-02   0.00  M1
   2417    17/2-     15/2-   197.3(10)       1.22(24)     5.39e-02   0.00  M1
   2643    17/2-     15/2-   199.70(20)      0.20(5)      5.22e-02   0.00  M1
   2745    19/2-     19/2-   205.7(10)       3.17(24)     4.83e-02   0.00  M1
   2752    21/2-     19/2-   212.80(20)      41.46(24)    4.42e-02   0.00  M1
   2738    21/2+     19/2+   213.60(7)       1.10(20)     4.35e-02   0.00  M1
   2916    21/2-     19/2-   216.2(3)        14.63(20)    4.23e-02   0.00  M1
   2906    19/2-     15/2-   217.4(10)       0.44(24)     8.52e-02   0.00  E2
   3091    21/2-     19/2-   218.90(20)      1.71(12)     4.10e-02   0.00  M1
   2741    17/2-     17/2-   221.4(10)       0.37(24)     4.01e-02   0.00  M1
   2643    17/2-     17/2-   226.5(10)       0.20(24)     3.74e-02   0.00  M1
   2872    19/2-     17/2-   228.4(3)        0.73(7)      3.66e-02   0.00  M1
   3631    25/2+     23/2+   234.2(3)        14.63(22)    3.44e-02   0.00  M1
   2935    21/2-     19/2-   234.9(10)       9.76(24)     3.40e-02   0.00  M1
   3397    23/2+     21/2+   245.6(10)       0.27(24)     3.03e-02   0.00  M1
   2125    13/2-     11/2-   246.6(10)       0.15(24)     3.00e-02   0.00  M1
   3668    25/2-     23/2-   252.2(10)       0.20(24)     2.83e-02   0.00  M1
   3012    23/2-     21/2-   260.50(20)      34.15(20)    2.60e-02   0.00  M1
   3029    19/2-     21/2-   277.0(10)       0.24(24)     2.22e-02   0.00  M1
   5206    31/2+     29/2+   280.5(6)        0.073(24)    2.15e-02   0.00  M1
   2700    19/2-     17/2-   282.8(10)       2.44(24)     2.10e-02   0.00  M1
   3029    19/2-     17/2-   287.90(20)      0.29(5)      2.01e-02   0.00  M1
   3627    23/2-     21/2-   288.00(10)      0.37(5)      2.01e-02   0.00  M1
    295     3/2-      1/2-   294.9(10)       7.32(20)     1.89e-02   0.00  M1
   2520    17/2-     15/2-   300.7(10)       4.88(24)     1.80e-02   0.00  M1
   3940    27/2+     25/2+   308.3(7)        19.51(22)    1.69e-02   0.00  M1
   3338    21/2-     19/2-   309.30(10)      0.46(7)      1.67e-02   0.00  M1
   2344    17/2-     13/2-   309.80(20)      0.12(5)      2.54e-02   0.00  E2
   3227    23/2-     21/2-   311.60(10)      10.98(12)    1.64e-02   0.00  M1
   4037    25/2+     23/2+   314.2(10)       0.07(24)     1.60e-02   0.00  M1
   3328    25/2-     23/2-   315.60(20)      23.17(20)    1.59e-02   0.00  M1
   2539    19/2-     15/2-   319.4(10)       0.15(24)     2.29e-02   0.00  E2
   3230    21/2-     19/2-   324.00(20)      1.71(20)     1.49e-02   0.00  M1
   2741    17/2-     17/2-   324.30(10)      1.10(12)     1.49e-02   0.00  M1
   3416    23/2-     21/2-   325.60(20)      3.17(15)     1.47e-02   0.00  M1
   1851    15/2+     15/2+   327.2(10)       0.07(24)     1.45e-02   0.00  M1
   3559    23/2-     21/2-   328.3(10)       0.49(24)     1.44e-02   0.00  M1
   2366    15/2-     13/2-   332.2(10)       2.44(24)     1.40e-02   0.00  M1
   4305    27/2-     25/2-   332.5(10)       0.10(24)     1.38e-02   0.00  M1
   2700    19/2-     15/2-   334.1(10)       0.49(24)     1.99e-02   0.00  E2
   3274    23/2-     21/2-   339.10(10)      7.32(20)     1.33e-02   0.00  M1
   3615    25/2-     23/2-   341.70(20)      5.85(12)     1.30e-02   0.00  M1
   4830    29/2+     27/2+   344.2(4)        1.10(12)     1.28e-02   0.00  M1
   3972    25/2-     23/2-   345.40(20)      0.51(10)     1.27e-02   0.00  M1
   3233    21/2+     19/2+   350.6(5)        0.39(20)     1.22e-02   0.00  M1
   3909    25/2-     23/2-   350.9(10)       0.56(24)     1.22e-02   0.00  M1
   3631    25/2+     21/2+   353.7(9)        0.15(5)      1.64e-02   0.00  E2
   2700    19/2-     17/2-   355.9(10)       7.56(24)     1.18e-02   0.00  M1
    357     5/2-      1/2-   357.20(10)      97.6(5)      1.59e-02   0.00  E2
   2882    19/2+     19/2+   357.5(6)        0.56(15)     1.16e-02   0.00  M1
   3274    23/2-     21/2-   357.8(10)       2.44(24)     1.16e-02   0.00  M1
   3778    25/2-     23/2-   362.30(20)      2.32(12)     1.12e-02   0.00  M1
   3249    21/2-     19/2-   376.30(20)      0.37(7)      1.02e-02   0.00  M1
   5206    31/2+     29/2+   376.80(20)      0.463(24)    1.02e-02   0.00  M1
   4322    29/2+     27/2+   381.80(20)      9.27(22)     9.73e-03   0.00  M1
   4705    31/2+     29/2+   383.80(20)      6.83(15)     9.86e-03   0.00  M1
   5217    31/2+     29/2+   386.5(5)        0.49(22)     9.52e-03   0.00  M1
   3615    25/2-     23/2-   387.9(10)       0.98(24)     9.49e-03   0.00  M1
   3091    21/2-     19/2-   390.9(10)       1.46(24)     9.32e-03   0.00  M1
   2520    17/2-     13/2-   395.2(10)       0.02(24)     1.15e-02   0.00  E2
   2935    21/2-     19/2-   395.6(10)       2.93(24)     9.05e-03   0.00  M1
   2916    21/2-     17/2-   395.70(20)      0.512(24)    1.15e-02   0.00  E2
   4305    27/2-     25/2-   395.7(10)       0.16(24)     9.04e-03   0.00  M1
   3627    23/2-     21/2-   396.3(10)       0.17(24)     9.01e-03   0.00  M1
   2034    13/2-     13/2-   396.60(20)      1.71(24)     8.94e-03   0.00  M1
   2741    17/2-     17/2-   397.3(10)       0.73(24)     8.95e-03   0.00  M1
   5060    31/2-     29/2-   400.4(10)       0.146(24)    8.78e-03   0.00  M1
   2745    19/2-     17/2-   401.0(10)       1.46(24)     8.75e-03   0.00  M1
   2752    21/2-     17/2-   407.9(10)       0.49(24)     1.05e-02   0.00  E2
   4080    27/2-     25/2-   411.5(10)       0.05(24)     8.21e-03   0.00  M1
   3151    21/2+     21/2+   412.7(9)        0.98(20)     8.13e-03   0.00  M1
   3972    25/2-     23/2-   413.3(10)       0.12(24)     8.12e-03   0.00  M1
   2418    17/2+     15/2+   418.9(4)        0.10(5)      7.86e-03   0.00  M1
   3397    23/2+     21/2+   424.5(10)       0.29(24)     7.61e-03   0.00  M1
   4196    29/2-     27/2-   426.40(20)      5.85(20)     7.52e-03   0.00  M1
   2872    19/2-     15/2-   428.20(20)      0.10(5)      9.01e-03   0.00  E2
   5091    31/2-     29/2-   431.3(10)       0.07(24)     7.32e-03   0.00  M1
   3338    21/2-     19/2-   432.4(10)       0.41(7)      7.27e-03   0.00  M1
   4211    27/2-     25/2-   432.50(20)      1.07(7)      7.27e-03   0.00  M1
   2284    17/2+     15/2+   432.9(11)       0.41(20)     7.24e-03   0.00  M1
   5741    33/2-     31/2-   436.5(10)       0.10(5)      7.11e-03   0.00  M1
   4106    27/2-     25/2-   437.60(20)      1.34(12)     7.07e-03   0.00  M1
   5657    33/2+     31/2+   439.5(6)        0.10(7)      6.99e-03   0.00  M1
   3668    25/2-     23/2-   440.90(20)      3.66(5)      6.94e-03   0.00  M1
   3770    27/2-     25/2-   441.6(3)        10.98(20)    6.91e-03   0.00  M1
   6103    35/2+     33/2+   445.5(6)        0.34(5)      6.76e-03   0.00  M1
   1349    13/2+     11/2+   445.90(20)      2.44(12)     6.76e-03   0.00  M1
   3091    21/2-     17/2-   447.30(20)      0.073(24)    7.88e-03   0.00  E2
   4485    27/2+     25/2+   448.3(10)       0.29(24)     6.62e-03   0.00  M1
   2972    21/2+     19/2+   448.3(10)       1.22(24)     6.66e-03   0.00  M1
   4660    29/2-     27/2-   448.8(3)        0.78(7)      6.64e-03   0.00  M1
   5657    33/2+     31/2+   450.2(3)        0.415(24)    6.76e-03   0.00  M1
   5060    31/2-     29/2-   454.70(20)      0.24(5)      6.44e-03   0.00  M1
   2872    19/2-     17/2-   454.9(10)       2.20(24)     6.43e-03   0.00  M1
