   List of levels:

     Level   Energy             Jpi    K
   6103    35/2+     31/2+   895.50(10)      0.41(5)      1.23e-03   0.00  E2
   3909    25/2-     23/2-   897.3(10)       0.98(24)     1.34e-03   0.00  M1
   4818    29/2-     25/2-   908.8(10)       0.10(24)     1.19e-03   0.00  E2
   2910    19/2+     15/2+   911.2(4)        0.06(5)      1.18e-03   0.00  E2
   6568    37/2+     33/2+   912.40(20)      0.073(24)    1.18e-03   0.00  E2
   3151    21/2+     17/2+   914.7(9)        0.98(15)     1.17e-03   0.00  E2
   3627    23/2-     19/2-   927.6(10)       0.12(24)     1.14e-03   0.00  E2
   5206    31/2+     27/2+   933.1(6)        0.37(12)     1.12e-03   0.00  E2
   2284    17/2+     13/2+   935.1(9)        1.71(22)     1.11e-03   0.00  E2
   4605    29/2-     25/2-   938.00(20)      0.683(24)    1.11e-03   0.00  E2
   5217    31/2+     27/2+   942.6(4)        0.78(7)      1.09e-03   0.00  E2
   4559    29/2-     25/2-   943.80(20)      0.73(5)      1.09e-03   0.00  E2
   1851    15/2+     11/2+   948.4(5)        3.90(12)     1.08e-03   0.00  E2
   5657    33/2+     31/2+   951.5(5)        0.49(12)     1.18e-03   0.00  M1
   5060    31/2-     27/2-   954.5(3)        0.561(24)    1.06e-03   0.00  E2
   5663    35/2+     31/2+   957.9(6)        0.90(12)     1.06e-03   0.00  E2
   1878    11/2-      9/2-   958.5(10)       1.22(24)     1.16e-03   0.00  M1
   4830    29/2+     25/2+   961.8(10)       0.24(24)     1.04e-03   0.00  E2
   3487    23/2+     19/2+   963.4(10)       0.10(24)     1.04e-03   0.00  E2
   4583    29/2-     25/2-   967.9(4)        0.24(24)     1.03e-03   0.00  E2
   5576    33/2-     29/2-   970.70(20)      0.27(5)      1.02e-03   0.00  E2
   5741    33/2-     31/2-   976.9(10)       0.05(24)     1.11e-03   0.00  M1
   4305    27/2-     25/2-   977.0(10)       0.80(24)     1.11e-03   0.00  M1
   2700    19/2-     17/2+   983.5(10)       4.39(24)     4.20e-04   0.00  E1
   3722    23/2+     21/2+   984.0(10)       0.49(24)     1.09e-03   0.00  M1
   4926    29/2+     27/2+   986.0(8)        0.20(5)      1.09e-03   0.00  M1
   4764    31/2-     27/2-   994.6(4)        0.85(24)     9.65e-04   0.00  E2
   2520    17/2-     15/2+   996.7(10)       1.71(24)     4.09e-04   0.00  E1
   5305    31/2-     27/2-   999.6(10)       0.09(24)     9.55e-04   0.00  E2
   2524    19/2+     15/2+   1000.50(4)      6.6(3)       9.52e-04   0.00  E2
   6450    37/2-     33/2-   1002.8(4)       0.29(5)      9.48e-04   0.00  E2
   2643    17/2-     13/2-   1006.9(10)      2.20(24)     9.39e-04   0.00  E2
   6204    37/2+     33/2+   1007.5(4)       0.41(5)      9.35e-04   0.00  E2
   5091    31/2-     27/2-   1011.00(20)     0.27(5)      9.30e-04   0.00  E2
   7114    39/2+     35/2+   1011.50(20)     0.049(24)    9.29e-04   0.00  E2
   2366    15/2-     13/2+   1017.3(10)      0.98(24)     3.94e-04   0.00  E1
   2738    21/2+     17/2+   1022.10(20)     37.8(12)     9.08e-04   0.00  E2
   1851    15/2+     13/2+   1029.90(20)     0.73(10)     9.88e-04   0.00  M1
   2882    19/2+     15/2+   1031.1(3)       3.66(20)     8.89e-04   0.00  E2
   3277    21/2+     17/2+   1041.2(9)       0.37(12)     8.71e-04   0.00  E2
   4199    25/2+     21/2+   1048.4(10)      0.73(24)     8.58e-04   0.00  E2
   4818    29/2-     27/2-   1049.0(10)      0.39(24)     9.49e-04   0.00  M1
   2688    15/2-     13/2-   1052.2(10)      1.95(24)     9.43e-04   0.00  M1
   4926    29/2+     25/2+   1057.9(10)      0.41(24)     8.41e-04   0.00  E2
   2910    19/2+     15/2+   1059.4(9)       2.20(24)     8.38e-04   0.00  E2
   4037    25/2+     21/2+   1064.5(8)       0.73(20)     8.29e-04   0.00  E2
   2418    17/2+     13/2+   1069.2(10)      1.71(24)     8.21e-04   0.00  E2
   6024    33/2+     29/2+   1078.3(8)       0.049(24)    8.06e-04   0.00  E2
   4946    29/2+     25/2+   1078.4(6)       0.29(10)     8.06e-04   0.00  E2
   5741    33/2-     29/2-   1081.5(10)      0.12(24)     8.01e-04   0.00  E2
   6142    35/2-     31/2-   1082.20(20)     0.098(24)    7.99e-04   0.00  E2
   6747    39/2+     35/2+   1085.0(4)       0.41(10)     7.93e-04   0.00  E2
   4485    27/2+     23/2+   1088.4(10)      0.44(24)     7.89e-04   0.00  E2
   5298    33/2-     29/2-   1102.4(3)       1.02(7)      7.68e-04   0.00  E2
   2741    17/2-     13/2-   1104.6(10)      0.49(24)     7.64e-04   0.00  E2
   5305    31/2-     29/2-   1108.2(4)       0.32(24)     8.42e-04   0.00  M1
   2034    13/2-      9/2-   1114.50(20)     4.39(20)     7.50e-04   0.00  E2
   5685    33/2-     29/2-   1125.40(20)     0.073(24)    7.34e-04   0.00  E2
   3868    25/2+     21/2+   1129.6(3)       2.93(15)     7.28e-04   0.00  E2
   2034    13/2-     11/2+   1130.8(10)      2.44(24)     3.23e-04   0.00  E1
   5189    29/2+     25/2+   1152.8(10)      0.12(24)     6.97e-04   0.00  E2
   7358    41/2+     37/2+   1154.0(6)       0.17(5)      6.92e-04   0.00  E2
   2872    19/2-     17/2+   1155.6(10)      1.22(24)     3.11e-04   0.00  E1
   7609    41/2-     37/2-   1158.2(5)       0.10(5)      6.89e-04   0.00  E2
   5925    35/2-     31/2-   1160.5(4)       0.22(7)      6.87e-04   0.00  E2
   2882    19/2+     17/2+   1166.0(10)      0.98(24)     7.55e-04   0.00  M1
   2906    19/2-     17/2+   1189.6(10)      1.46(24)     2.95e-04   0.00  E1
   3722    23/2+     19/2+   1198.0(10)      0.80(24)     6.42e-04   0.00  E2
   4830    29/2+     25/2+   1198.2(10)      0.24(24)     6.41e-04   0.00  E2
   2034    13/2-     13/2+   1213.1(10)      4.88(24)     2.85e-04   0.00  E1
   7994    43/2+     39/2+   1246.4(6)       0.039(24)    5.90e-04   0.00  E2
   1349    13/2+      9/2+   1255.8(6)       0.12(5)      5.81e-04   0.00  E2
   2972    21/2+     17/2+   1256.1(7)       2.20(17)     5.80e-04   0.00  E2
   7188    39/2-     35/2-   1262.7(6)       0.07(5)      5.74e-04   0.00  E2
   6588    37/2-     33/2-   1289.2(4)       0.20(5)      5.49e-04   0.00  E2
   4926    29/2+     25/2+   1294.3(4)       0.29(10)     5.45e-04   0.00  E2
   4037    25/2+     21/2+   1298.8(9)       0.44(20)     5.42e-04   0.00  E2
   2228    13/2-     11/2+   1324.9(10)      2.44(24)     2.44e-04   0.00  E1
   2219    15/2-     13/2+   1398.7(10)      12.20(24)    2.22e-04   0.00  E1
   2366    15/2-     13/2+   1545.3(10)      2.44(24)     0.00e+00   0.00  E1

Test of Gamma-ray and Level Energies

        Li ->      Lf    Egamma     Ei-Ef   Diff     Diff/Err
-------------------------------------------------------------
  103rh110   103rh209     213.6     214.0   0.42(7)       5.8
    neg206     neg106     396.6     397.5   0.93(20)      4.7
    neg513     neg511     879.3     878.4   0.85(10)      8.5
    neg414     neg412     938.0     937.1   0.94(20)      4.7
      n118       n116     912.4     911.8   0.63(20)      3.2
      n217       n215     895.5     896.6   1.07(10)     10.7
    neg110    neg1209     376.3     377.3   1.03(20)      5.1
   neg1112    neg1110     688.5     687.8   0.67(20)      3.3
   neg1211    neg1209     545.4     544.5   0.90(20)      4.5
  103rh410   103rh110     540.5     539.5   1.02(20)      5.1
   neg1711    neg1610     288.0     288.4   0.35(10)      3.5
   neg1414     neg112     699.6     697.5   2.1(5)        4.3

Test of Gamma-ray Energy Sums

        Li     Eg1     Eg2     Eg3     Eg4     Sum1    Sum2   Diff     Diff/Err
-------------------------------------------------------------------------------
      n118   465.5   895.5   912.4   450.2   1361.0  1362.6   1.6(4)        3.8
    neg206   396.6   717.0  1114.5     0.0   1113.6  1114.5   0.9(3)        3.0

Test of Gamma Ray Intensity Sums

     Level    Energy     SumIn    SumOut    Diff      Diff/Err
--------------------------------------------------------------
  103rh104     92.97    114.55     45.44    69(3)         22.1
  103rh106    820.79    104.04     96.16    8(3)           2.7
  103rh205    656.94     32.60     29.38    3.2(14)        2.2
    neg104    919.41    109.74    104.78    5.0(9)         5.4
    neg307   2219.44     28.69     21.75    6.9(8)         8.6
  103rh203     39.77     52.77      0.00    52.8(16)      32.9
    neg803    846.99      9.14      4.05    5.1(6)         8.2
    pos205    903.03     11.24      6.84    4.4(5)         9.6
